team,win_percentage
"Gujarat Titans",60.869565217391305
"Chennai Super Kings",56.153846153846153
"Mumbai Indians",54.385964912280699
"Rajasthan Royals",51.020408163265309
"Kolkata Knight Riders",50.367647058823529
"Rising Pune Supergiant",50.0
"Lucknow Super Giants",50.0
"Royal Challengers Bangalore",49.820788530465947
"Punjab Kings",47.794117647058826
"Sunrisers Hyderabad",47.142857142857146
"Delhi Capitals",45.652173913043477
"Gujarat Lions",43.333333333333336
"Kochi Tuskers Kerala",42.857142857142854
"Pune Warriors",28.260869565217391
venue,wins
"MA Chidambaram Stadium, Chepauk",24
"Eden Gardens",20
"Sawai Mansingh Stadium",14
"Wankhede Stadium",13
"Feroz Shah Kotla",12
"Rajiv Gandhi International Stadium, Uppal",11
"Dubai International Cricket Stadium",8
Kingsmead,7
"Sheikh Zayed Stadium",5
"Sawai Mansingh Stadium, Jaipur",5
